index;admit;gender;dept
1;Admitted;Male;A
2;Admitted;Male;A
3;Admitted;Male;A
4;Admitted;Male;A
5;Admitted;Male;A
6;Admitted;Male;A
7;Admitted;Male;A
8;Admitted;Male;A
9;Admitted;Male;A
10;Admitted;Male;A
11;Admitted;Male;A
12;Admitted;Male;A
13;Admitted;Male;A
14;Admitted;Male;A
15;Admitted;Male;A
16;Admitted;Male;A
17;Admitted;Male;A
18;Admitted;Male;A
19;Admitted;Male;A
20;Admitted;Male;A
21;Admitted;Male;A
22;Admitted;Male;A
23;Admitted;Male;A
24;Admitted;Male;A
25;Admitted;Male;A
26;Admitted;Male;A
27;Admitted;Male;A
28;Admitted;Male;A
29;Admitted;Male;A
30;Admitted;Male;A
31;Admitted;Male;A
32;Admitted;Male;A
33;Admitted;Male;A
34;Admitted;Male;A
35;Admitted;Male;A
36;Admitted;Male;A
37;Admitted;Male;A
38;Admitted;Male;A
39;Admitted;Male;A
40;Admitted;Male;A
41;Admitted;Male;A
42;Admitted;Male;A
43;Admitted;Male;A
44;Admitted;Male;A
45;Admitted;Male;A
46;Admitted;Male;A
47;Admitted;Male;A
48;Admitted;Male;A
49;Admitted;Male;A
50;Admitted;Male;A
51;Admitted;Male;A
52;Admitted;Male;A
53;Admitted;Male;A
54;Admitted;Male;A
55;Admitted;Male;A
56;Admitted;Male;A
57;Admitted;Male;A
58;Admitted;Male;A
59;Admitted;Male;A
60;Admitted;Male;A
61;Admitted;Male;A
62;Admitted;Male;A
63;Admitted;Male;A
64;Admitted;Male;A
65;Admitted;Male;A
66;Admitted;Male;A
67;Admitted;Male;A
68;Admitted;Male;A
69;Admitted;Male;A
70;Admitted;Male;A
71;Admitted;Male;A
72;Admitted;Male;A
73;Admitted;Male;A
74;Admitted;Male;A
75;Admitted;Male;A
76;Admitted;Male;A
77;Admitted;Male;A
78;Admitted;Male;A
79;Admitted;Male;A
80;Admitted;Male;A
81;Admitted;Male;A
82;Admitted;Male;A
83;Admitted;Male;A
84;Admitted;Male;A
85;Admitted;Male;A
86;Admitted;Male;A
87;Admitted;Male;A
88;Admitted;Male;A
89;Admitted;Male;A
90;Admitted;Male;A
91;Admitted;Male;A
92;Admitted;Male;A
93;Admitted;Male;A
94;Admitted;Male;A
95;Admitted;Male;A
96;Admitted;Male;A
97;Admitted;Male;A
98;Admitted;Male;A
99;Admitted;Male;A
100;Admitted;Male;A
101;Admitted;Male;A
102;Admitted;Male;A
103;Admitted;Male;A
104;Admitted;Male;A
105;Admitted;Male;A
106;Admitted;Male;A
107;Admitted;Male;A
108;Admitted;Male;A
109;Admitted;Male;A
110;Admitted;Male;A
111;Admitted;Male;A
112;Admitted;Male;A
113;Admitted;Male;A
114;Admitted;Male;A
115;Admitted;Male;A
116;Admitted;Male;A
117;Admitted;Male;A
118;Admitted;Male;A
119;Admitted;Male;A
120;Admitted;Male;A
121;Admitted;Male;A
122;Admitted;Male;A
123;Admitted;Male;A
124;Admitted;Male;A
125;Admitted;Male;A
126;Admitted;Male;A
127;Admitted;Male;A
128;Admitted;Male;A
129;Admitted;Male;A
130;Admitted;Male;A
131;Admitted;Male;A
132;Admitted;Male;A
133;Admitted;Male;A
134;Admitted;Male;A
135;Admitted;Male;A
136;Admitted;Male;A
137;Admitted;Male;A
138;Admitted;Male;A
139;Admitted;Male;A
140;Admitted;Male;A
141;Admitted;Male;A
142;Admitted;Male;A
143;Admitted;Male;A
144;Admitted;Male;A
145;Admitted;Male;A
146;Admitted;Male;A
147;Admitted;Male;A
148;Admitted;Male;A
149;Admitted;Male;A
150;Admitted;Male;A
151;Admitted;Male;A
152;Admitted;Male;A
153;Admitted;Male;A
154;Admitted;Male;A
155;Admitted;Male;A
156;Admitted;Male;A
157;Admitted;Male;A
158;Admitted;Male;A
159;Admitted;Male;A
160;Admitted;Male;A
161;Admitted;Male;A
162;Admitted;Male;A
163;Admitted;Male;A
164;Admitted;Male;A
165;Admitted;Male;A
166;Admitted;Male;A
167;Admitted;Male;A
168;Admitted;Male;A
169;Admitted;Male;A
170;Admitted;Male;A
171;Admitted;Male;A
172;Admitted;Male;A
173;Admitted;Male;A
174;Admitted;Male;A
175;Admitted;Male;A
176;Admitted;Male;A
177;Admitted;Male;A
178;Admitted;Male;A
179;Admitted;Male;A
180;Admitted;Male;A
181;Admitted;Male;A
182;Admitted;Male;A
183;Admitted;Male;A
184;Admitted;Male;A
185;Admitted;Male;A
186;Admitted;Male;A
187;Admitted;Male;A
188;Admitted;Male;A
189;Admitted;Male;A
190;Admitted;Male;A
191;Admitted;Male;A
192;Admitted;Male;A
193;Admitted;Male;A
194;Admitted;Male;A
195;Admitted;Male;A
196;Admitted;Male;A
197;Admitted;Male;A
198;Admitted;Male;A
199;Admitted;Male;A
200;Admitted;Male;A
201;Admitted;Male;A
202;Admitted;Male;A
203;Admitted;Male;A
204;Admitted;Male;A
205;Admitted;Male;A
206;Admitted;Male;A
207;Admitted;Male;A
208;Admitted;Male;A
209;Admitted;Male;A
210;Admitted;Male;A
211;Admitted;Male;A
212;Admitted;Male;A
213;Admitted;Male;A
214;Admitted;Male;A
215;Admitted;Male;A
216;Admitted;Male;A
217;Admitted;Male;A
218;Admitted;Male;A
219;Admitted;Male;A
220;Admitted;Male;A
221;Admitted;Male;A
222;Admitted;Male;A
223;Admitted;Male;A
224;Admitted;Male;A
225;Admitted;Male;A
226;Admitted;Male;A
227;Admitted;Male;A
228;Admitted;Male;A
229;Admitted;Male;A
230;Admitted;Male;A
231;Admitted;Male;A
232;Admitted;Male;A
233;Admitted;Male;A
234;Admitted;Male;A
235;Admitted;Male;A
236;Admitted;Male;A
237;Admitted;Male;A
238;Admitted;Male;A
239;Admitted;Male;A
240;Admitted;Male;A
241;Admitted;Male;A
242;Admitted;Male;A
243;Admitted;Male;A
244;Admitted;Male;A
245;Admitted;Male;A
246;Admitted;Male;A
247;Admitted;Male;A
248;Admitted;Male;A
249;Admitted;Male;A
250;Admitted;Male;A
251;Admitted;Male;A
252;Admitted;Male;A
253;Admitted;Male;A
254;Admitted;Male;A
255;Admitted;Male;A
256;Admitted;Male;A
257;Admitted;Male;A
258;Admitted;Male;A
259;Admitted;Male;A
260;Admitted;Male;A
261;Admitted;Male;A
262;Admitted;Male;A
263;Admitted;Male;A
264;Admitted;Male;A
265;Admitted;Male;A
266;Admitted;Male;A
267;Admitted;Male;A
268;Admitted;Male;A
269;Admitted;Male;A
270;Admitted;Male;A
271;Admitted;Male;A
272;Admitted;Male;A
273;Admitted;Male;A
274;Admitted;Male;A
275;Admitted;Male;A
276;Admitted;Male;A
277;Admitted;Male;A
278;Admitted;Male;A
279;Admitted;Male;A
280;Admitted;Male;A
281;Admitted;Male;A
282;Admitted;Male;A
283;Admitted;Male;A
284;Admitted;Male;A
285;Admitted;Male;A
286;Admitted;Male;A
287;Admitted;Male;A
288;Admitted;Male;A